match_id,season,city,date,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result_type,super_over,result_margin,target_overs,target_runs
335982,2008,Bangalore,18-04-2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,140,0,BB McCullum,normal,0,140,20,223
335982,2008,Bangalore,18-04-2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,140,0,BB McCullum,normal,0,140,20,223
335984,2008,Delhi,19-04-2008,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,0,9,MF Maharoof,normal,0,9,20,130
335983,2008,Chandigarh,19-04-2008,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,33,0,MEK Hussey,normal,0,33,20,241
335983,2008,Chandigarh,19-04-2008,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,33,0,MEK Hussey,normal,0,33,20,241
335984,2008,Delhi,19-04-2008,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,0,9,MF Maharoof,normal,0,9,20,130
335985,2008,Mumbai,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,0,5,MV Boucher,normal,0,5,20,166
335986,2008,Kolkata,20-04-2008,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,0,5,DJ Hussey,normal,0,5,19,111
335986,2008,Kolkata,20-04-2008,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,0,5,DJ Hussey,normal,0,5,19,111
335985,2008,Mumbai,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,0,5,MV Boucher,normal,0,5,20,166
335987,2008,Jaipur,21-04-2008,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,0,6,SR Watson,normal,0,6,20,167
335987,2008,Jaipur,21-04-2008,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,0,6,SR Watson,normal,0,6,20,167
335988,2008,Hyderabad,22-04-2008,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,0,9,V Sehwag,normal,0,9,20,143
335988,2008,Hyderabad,22-04-2008,Rajiv Gandhi International Stadium,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,0,9,V Sehwag,normal,0,9,20,143
335989,2008,Chennai,23-04-2008,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6,0,ML Hayden,normal,0,6,20,209
335989,2008,Chennai,23-04-2008,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,6,0,ML Hayden,normal,0,6,20,209
335990,2008,Hyderabad,24-04-2008,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,YK Pathan,normal,0,3,20,215
335990,2008,Hyderabad,24-04-2008,Rajiv Gandhi International Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,YK Pathan,normal,0,3,20,215
335991,2008,Chandigarh,25-04-2008,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,66,0,KC Sangakkara,normal,0,66,20,183
335991,2008,Chandigarh,25-04-2008,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,66,0,KC Sangakkara,normal,0,66,20,183
335992,2008,Bangalore,26-04-2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,SR Watson,normal,0,7,20,136
335993,2008,Chennai,26-04-2008,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,JDP Oram,normal,0,9,20,148
335993,2008,Chennai,26-04-2008,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,0,9,JDP Oram,normal,0,9,20,148
335992,2008,Bangalore,26-04-2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,SR Watson,normal,0,7,20,136
335994,2008,Mumbai,27-04-2008,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,10,AC Gilchrist,normal,0,10,20,155
335995,2008,Chandigarh,27-04-2008,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,0,4,SM Katich,normal,0,4,20,159
335994,2008,Mumbai,27-04-2008,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,10,AC Gilchrist,normal,0,10,20,155
335995,2008,Chandigarh,27-04-2008,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,0,4,SM Katich,normal,0,4,20,159
